"Step","23 - dims_best_member","23 - dims_best_member__MIN","23 - dims_best_member__MAX"
"707","13.666666666666666","8","17"
"708","13.666666666666666","8","17"
"709","13.666666666666666","8","17"
"710","13.666666666666666","8","17"
"711","13.666666666666666","8","17"
"712","13.666666666666666","8","17"
"713","13.666666666666666","8","17"
"714","13.666666666666666","8","17"
"715","13.666666666666666","8","17"
"716","13.666666666666666","8","17"
"717","13.666666666666666","8","17"
"718","13.666666666666666","8","17"
"719","13.666666666666666","8","17"
"720","13.666666666666666","8","17"
"721","13.666666666666666","8","17"
"722","13.666666666666666","8","17"
"723","13.666666666666666","8","17"
"724","13.666666666666666","8","17"
"725","13.666666666666666","8","17"
"726","13.666666666666666","8","17"
"727","13.666666666666666","8","17"
"728","13.666666666666666","8","17"
"729","13.666666666666666","8","17"
"730","13.666666666666666","8","17"
"731","13.666666666666666","8","17"
"732","13.666666666666666","8","17"
"733","13.666666666666666","8","17"
"734","13.666666666666666","8","17"
"735","13.666666666666666","8","17"
"736","13.666666666666666","8","17"
"737","13.666666666666666","8","17"
"738","13.666666666666666","8","17"
"739","13.666666666666666","8","17"
"740","13.666666666666666","8","17"
"741","13.666666666666666","8","17"
"742","13.666666666666666","8","17"
"743","13.666666666666666","8","17"
"744","14","9","17"
"745","14","9","17"
"746","14","9","17"
"747","14","9","17"
"748","14","9","17"
"749","14","9","17"
"750","14","9","17"
"751","14","9","17"
"752","14","9","17"
"753","14","9","17"
"754","14","9","17"
"755","14","9","17"
"756","14","9","17"
"757","14","9","17"
"758","14","9","17"
"759","14","9","17"
"760","14","9","17"
"761","14","9","17"
"762","14","9","17"
"763","14","9","17"
"764","14","9","17"
"765","14","9","17"
"766","14","9","17"
"767","14","9","17"
"768","14","9","17"
"769","14","9","17"
"770","14","9","17"
"771","14","9","17"
"772","14","9","17"
"773","14","9","17"
"774","14","9","17"
"775","14","9","17"
"776","14","9","17"
"777","14","9","17"
"778","14","9","17"
"779","14","9","17"
"780","14","9","17"
"781","14","9","17"
"782","14","9","17"
"783","13.666666666666666","9","17"
"784","13.666666666666666","9","17"
"785","13.666666666666666","9","17"
"786","13.666666666666666","9","17"
"787","14","10","17"
"788","14","10","17"
"789","14","10","17"
"790","14","10","17"
"791","14","10","17"
"792","14","10","17"
"793","14","10","17"
"794","14","10","17"
"795","14","10","17"
"796","14","10","17"
"797","14","10","17"
"798","14","10","17"
"799","14","10","17"
"800","14","10","17"
"801","14","10","17"
"802","14","10","17"
"803","14","10","17"
"804","14","10","17"
"805","14","10","17"
"806","14","10","17"
"807","14","10","17"
"808","14","10","17"
"809","14","10","17"
"810","14","10","17"
"811","14.333333333333334","10","17"
"812","14.333333333333334","10","17"
"813","14.333333333333334","10","17"
"814","14.333333333333334","10","17"
"815","14.333333333333334","10","17"
"816","14.333333333333334","10","17"
"817","14.333333333333334","10","17"
"818","14.333333333333334","10","17"
"819","14.333333333333334","10","17"
"820","14.333333333333334","10","17"
"821","14.333333333333334","10","17"
"822","14.333333333333334","10","17"
"823","14.333333333333334","10","17"
"824","14.333333333333334","10","17"
"825","14.333333333333334","10","17"
"826","14.333333333333334","10","17"
"827","14.333333333333334","10","17"
"828","14.333333333333334","10","17"
"829","14.333333333333334","10","17"
"830","14","9","17"
"831","14","9","17"
"832","14","9","17"
"833","14","9","17"
"834","14","9","17"
"835","14","9","17"
"836","14","9","17"
"837","14","9","17"
"838","14","9","17"
"839","14","9","17"
"840","14","9","17"
"841","14","9","17"
"842","14.666666666666666","11","17"
"843","14.666666666666666","11","17"
"844","14.666666666666666","11","17"
"845","14.666666666666666","11","17"
"846","14.666666666666666","11","17"
"847","14.666666666666666","11","17"
"848","14.666666666666666","11","17"
"849","14.666666666666666","11","17"
"850","14.666666666666666","11","17"
"851","14.666666666666666","11","17"
"852","14.666666666666666","11","17"
"853","15","12","17"
"854","15","12","17"
"855","15","12","17"
"856","15","12","17"
"857","15","12","17"
"858","15","12","17"
"859","15","12","17"
"860","15","12","17"
"861","15","12","17"
"862","15","12","17"
"863","15","12","17"
"864","15","12","17"
"865","15","12","17"
"866","15","12","17"
"867","15","12","17"
"868","15","12","17"
"869","15","12","17"
"870","15","12","17"
"871","15","12","17"
"872","15","12","17"
"873","15","12","17"
"874","15","12","17"
"875","15","12","17"
"876","15","12","17"
"877","15","12","17"
"878","15","12","17"
"879","15","12","17"
"880","15","12","17"
"881","15","12","17"
"882","15","12","17"
"883","15","12","17"
"884","15","12","17"
"885","15","12","17"
"886","15","12","17"
"887","15","12","17"
"888","15","12","17"
"889","15","12","17"
"890","15","12","17"
"891","15","12","17"
"892","15","12","17"
"893","15","12","17"
"894","15","12","17"
"895","15","12","17"
"896","15","12","17"
"897","15","12","17"
"898","15","12","17"
"899","15","12","17"
"900","15","12","17"
"901","15","12","17"
"902","15","12","17"
"903","15","12","17"
"904","15","12","17"
"905","15","12","17"
"906","15","12","17"
"907","15","12","17"
"908","15.666666666666666","14","17"
"909","15.666666666666666","14","17"
"910","15.666666666666666","14","17"
"911","15.666666666666666","14","17"
"912","15.666666666666666","14","17"
"913","15.666666666666666","14","17"
"914","15.666666666666666","14","17"
"915","15.666666666666666","14","17"
"916","15.666666666666666","14","17"
"917","15.666666666666666","14","17"
"918","15.666666666666666","14","17"
"919","15.666666666666666","14","17"
"920","15.666666666666666","14","17"
"921","15.666666666666666","14","17"
"922","15.666666666666666","14","17"
"923","15.666666666666666","14","17"
"924","15.666666666666666","14","17"
"925","15.666666666666666","14","17"
"926","15.666666666666666","14","17"
"927","15.666666666666666","14","17"
"928","15.666666666666666","14","17"
"929","15.666666666666666","14","17"
"930","15.666666666666666","14","17"
"931","15.666666666666666","14","17"
"932","15.666666666666666","14","17"
"933","15.666666666666666","14","17"
"934","15.666666666666666","14","17"
"935","15.666666666666666","14","17"
"936","15.666666666666666","14","17"
"937","15.666666666666666","14","17"
"938","15.666666666666666","14","17"
"939","15.666666666666666","14","17"
"940","15.666666666666666","14","17"
"941","15.666666666666666","14","17"
"942","15.666666666666666","14","17"
"943","15.666666666666666","14","17"
"944","15.666666666666666","14","17"
"945","15.666666666666666","14","17"
"946","15.666666666666666","14","17"
"947","15.666666666666666","14","17"
"948","15.666666666666666","14","17"
"949","15.666666666666666","14","17"
"950","15.666666666666666","14","17"
"951","15.666666666666666","14","17"
"952","15.666666666666666","14","17"
"953","15.666666666666666","14","17"
"954","15.666666666666666","14","17"
"955","15.666666666666666","14","17"
"956","15.666666666666666","14","17"
"957","15.666666666666666","14","17"
"958","15.666666666666666","14","17"
"959","15.666666666666666","14","17"
"960","15.666666666666666","14","17"
"961","15.666666666666666","14","17"
"962","15.666666666666666","14","17"
"963","15.666666666666666","14","17"
"964","15.666666666666666","14","17"
"965","15.666666666666666","14","17"
"966","15.666666666666666","14","17"
"967","16","15","17"
"968","16","15","17"
"969","16","15","17"
"970","16","15","17"
"971","16","15","17"
"972","16","15","17"
"973","16","15","17"
"974","16","15","17"
"975","16","15","17"
"976","16","15","17"
"977","16","15","17"
"978","16","15","17"
"979","16","15","17"
"980","16","15","17"
"981","16","15","17"
"982","16","15","17"
"983","16","15","17"
"984","15","12","17"
"985","15","12","17"
"986","15","12","17"
"987","15","12","17"
"988","15","12","17"
"989","15","12","17"
"990","15","12","17"
"991","15","12","17"
"992","15","12","17"
"993","15","12","17"
"994","15","12","17"
"995","15","12","17"
"996","15","12","17"
"997","15","12","17"
"998","15","12","17"
"999","15","12","17"
"1000","15","12","17"
"1001","15","12","17"
"1002","15","12","17"
"1003","15","12","17"
"1004","15","12","17"
"1005","15","12","17"
"1006","15","12","17"
"1007","15","12","17"
"1008","15","12","17"
"1009","15","12","17"
"1010","15","12","17"
"1011","15","12","17"
"1012","15","12","17"
"1013","15","12","17"
"1014","15","12","17"
"1015","15","12","17"
"1016","15","12","17"
"1017","15","12","17"
"1018","15","12","17"
"1019","15","12","17"
"1020","15","12","17"
"1021","15","12","17"
"1022","15","12","17"
"1023","15","12","17"
"1024","15","12","17"
"1025","15","12","17"
"1026","15","12","17"
"1027","15","12","17"
"1028","15","12","17"
"1029","15","12","17"
"1030","15","12","17"
"1031","15","12","17"
"1032","15","12","17"
"1033","15","12","17"
"1034","15","12","17"
"1035","15","12","17"
"1036","15","12","17"
"1037","15","12","17"
"1038","15","12","17"
"1039","15","12","17"
"1040","15","12","17"
"1041","15","12","17"
"1042","15","12","17"
"1043","15","12","17"
"1044","15","12","17"
"1045","15","12","17"
"1046","15","12","17"
"1047","15","12","17"
"1048","15","12","17"
"1049","15","12","17"
"1050","15","12","17"
"1051","15","12","17"
"1052","15","12","17"
"1053","15","12","17"
"1054","15","12","17"
"1055","15","12","17"
"1056","15","12","17"
"1057","15","12","17"
"1058","15","12","17"
"1059","15","12","17"
"1060","15","12","17"
"1061","15","12","17"
"1062","15","12","17"
"1063","15","12","17"
"1064","15","12","17"
"1065","15","12","17"
"1066","15","12","17"
"1067","15","12","17"
"1068","15","12","17"
"1069","15","12","17"
"1070","15","12","17"
"1071","15","12","17"
"1072","15","12","17"
"1073","15","12","17"
"1074","15","12","17"
"1075","16.5","16","17"
"1076","16.5","16","17"
"1077","16.5","16","17"
"1078","16.5","16","17"
"1079","16.5","16","17"
"1080","16.5","16","17"
"1081","16.5","16","17"
"1082","16.5","16","17"
"1083","16.5","16","17"
"1084","16.5","16","17"
"1085","16.5","16","17"
"1086","16.5","16","17"
"1087","16.5","16","17"
"1088","16.5","16","17"
"1089","16.5","16","17"
"1090","16.5","16","17"
"1091","16.5","16","17"
"1092","16.5","16","17"
"1093","16.5","16","17"
"1094","16.5","16","17"
"1095","16.5","16","17"
"1096","16.5","16","17"
"1097","16.5","16","17"
"1098","16.5","16","17"
"1099","16.5","16","17"
"1100","16.5","16","17"
"1101","16.5","16","17"
"1102","16.5","16","17"
"1103","16.5","16","17"
"1104","16.5","16","17"
"1105","16.5","16","17"
"1106","16.5","16","17"
"1107","16.5","16","17"
"1108","16.5","16","17"
